Centro Nacional de Control de Energia
Precios Marginales Locales del MTR (Calculo ExPost) 
Sistema Interconectado Nacional
Reporte diario
Fecha: 12/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 15:53:13 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
12,01ASK-230,2728.7,2769.26,-40.56,0
13,01ASK-230,2387.29,2413,-25.71,0
14,01ASK-230,2761.58,2790.45,-28.87,0
15,01ASK-230,2916.91,2936.67,-19.76,0
16,01ASK-230,3184.68,3207.34,-22.66,0
17,01ASK-230,3481.81,3503.28,-21.47,0
18,01ASK-230,3155.72,3166.75,-11.04,0
19,01ASK-230,2628.98,2634.21,-5.23,0
20,01ASK-230,2216.77,2212.98,3.8,0
21,01ASK-230,2619.13,2603.48,15.65,0
22,01ASK-230,2869.95,2859.27,10.68,0
23,01ASK-230,2675.69,2692.28,-16.59,0
24,01ASK-230,2291.11,2303.78,-12.67,0
1,01ATE-230,2187.15,2114.11,73.05,0
2,01ATE-230,1371.68,1328.59,43.09,0
3,01ATE-230,1165.02,1129.97,35.05,0
4,01ATE-230,1236.76,1198.05,38.71,0
5,01ATE-230,1209.3,1168.83,40.47,0
6,01ATE-230,1167.21,1124.05,43.15,0
7,01ATE-230,1516.6,1459.34,57.25,0
8,01ATE-230,2343.72,2263.33,80.39,0
9,01ATE-230,2529.65,2467.91,61.73,0
10,01ATE-230,2472.32,2434.36,37.97,0
11,01ATE-230,2800.69,2772.97,27.72,0
12,01ATE-230,2792.97,2769.26,23.71,0
13,01ATE-230,2440.73,2413,27.73,0
14,01ATE-230,2824.28,2790.45,33.83,0
15,01ATE-230,2985.18,2936.67,48.5,0
16,01ATE-230,3260.77,3207.34,53.43,0
17,01ATE-230,3562.72,3503.28,59.44,0
18,01ATE-230,3227.8,3166.75,61.05,0
19,01ATE-230,2689.88,2634.21,55.68,0
20,01ATE-230,2270.8,2212.98,57.82,0
21,01ATE-230,2682.52,2603.48,79.04,0
22,01ATE-230,2939.19,2859.27,79.92,0
23,01ATE-230,2738.9,2692.28,46.62,0
24,01ATE-230,2335.01,2303.78,31.24,0
1,01ATE-85,2186.18,2114.11,72.08,0
2,01ATE-85,1371.06,1328.59,42.47,0
3,01ATE-85,1164.58,1129.97,34.61,0
4,01ATE-85,1236.17,1198.05,38.13,0
5,01ATE-85,1208.81,1168.83,39.98,0
6,01ATE-85,1166.62,1124.05,42.56,0
7,01ATE-85,1515.62,1459.34,56.28,0
8,01ATE-85,2342.07,2263.33,78.74,0
9,01ATE-85,2527.95,2467.91,60.04,0
10,01ATE-85,2471.03,2434.36,36.68,0
