Centro Nacional de Control de Energia
Precios Marginales Locales del MTR (Calculo ExPost) 
Sistema Interconectado Baja California
Reporte diario
Fecha: 12/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 13:51:04 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
16,07DRA-69,461.25,457.29,3.96,0
17,07DRA-69,471.07,466.99,4.08,0
18,07DRA-69,499.13,495.07,4.06,0
19,07DRA-69,487.86,484.05,3.81,0
20,07DRA-69,512.58,508.55,4.03,0
21,07DRA-69,490.4,486.17,4.23,0
22,07DRA-69,495.16,490.79,4.37,0
23,07DRA-69,488.93,485.04,3.89,0
24,07DRA-69,483.56,480.09,3.47,0
1,07EDA-115,464.81,461.73,3.08,0
2,07EDA-115,434.47,431.18,3.29,0
3,07EDA-115,435.01,431.86,3.15,0
4,07EDA-115,435.36,432.32,3.03,0
5,07EDA-115,435.95,432.85,3.11,0
6,07EDA-115,437.48,434.27,3.21,0
7,07EDA-115,471.48,468.68,2.8,0
8,07EDA-115,471.19,467.58,3.61,0
9,07EDA-115,472.47,468.39,4.08,0
10,07EDA-115,472.56,468.47,4.09,0
11,07EDA-115,485.93,481.97,3.96,0
12,07EDA-115,508.49,503.98,4.51,0
13,07EDA-115,481.16,476.88,4.28,0
14,07EDA-115,463.14,458.33,4.8,0
15,07EDA-115,456.85,451.75,5.1,0
16,07EDA-115,462.31,457.29,5.02,0
17,07EDA-115,471.69,466.99,4.7,0
18,07EDA-115,499.76,495.07,4.7,0
19,07EDA-115,488.59,484.05,4.54,0
20,07EDA-115,513.54,508.55,4.98,0
21,07EDA-115,491.37,486.17,5.2,0
22,07EDA-115,495.54,490.79,4.75,0
23,07EDA-115,488.41,485.04,3.37,0
24,07EDA-115,483.14,480.09,3.05,0
1,07END-69,465.33,461.73,3.6,0
2,07END-69,434.27,431.18,3.09,0
3,07END-69,434.95,431.86,3.09,0
4,07END-69,435.29,432.32,2.97,0
5,07END-69,435.88,432.85,3.03,0
6,07END-69,437.61,434.27,3.34,0
7,07END-69,473.94,468.68,5.26,0
8,07END-69,474.71,467.58,7.12,0
9,07END-69,476.81,468.39,8.42,0
10,07END-69,479.48,468.47,11.01,0
11,07END-69,495.18,481.97,13.21,0
12,07END-69,517.62,503.98,13.63,0
13,07END-69,488.89,476.88,12.01,0
14,07END-69,468.78,458.33,10.44,0
15,07END-69,462.51,451.75,10.76,0
16,07END-69,468.29,457.29,11,0
17,07END-69,477.26,466.99,10.27,0
18,07END-69,505.28,495.07,10.22,0
19,07END-69,495.05,484.05,11,0
20,07END-69,520.99,508.55,12.44,0
21,07END-69,499.38,486.17,13.21,0
22,07END-69,504.19,490.79,13.41,0
23,07END-69,497.89,485.04,12.86,0
