Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Baja California
Reporte diario
Fecha: 20/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 12:03:36 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
23,07CRO-161,918.83,858.67,60.16,0
24,07CRO-161,863.99,800.72,63.26,0
1,07CSC-230,741.92,704.27,37.65,0
2,07CSC-230,738.71,711.49,27.22,0
3,07CSC-230,691.08,671.98,19.1,0
4,07CSC-230,493.63,483.57,10.06,0
5,07CSC-230,477.45,472.41,5.05,0
6,07CSC-230,453.31,452.18,1.13,0
7,07CSC-230,452.66,453.53,-.87,0
8,07CSC-230,501.4,498.87,2.54,0
9,07CSC-230,509.65,506.72,2.93,0
10,07CSC-230,730.07,720.49,9.58,0
11,07CSC-230,754.2,737.81,16.38,0
12,07CSC-230,1046.38,1022.33,24.05,0
13,07CSC-230,841.86,822.52,19.34,0
14,07CSC-230,878.52,829.71,48.81,0
15,07CSC-230,1007.12,943.75,63.37,0
16,07CSC-230,792.09,738.02,54.07,0
17,07CSC-230,794.53,738.04,56.5,0
18,07CSC-230,934.89,870.45,64.44,0
19,07CSC-230,975.52,910.19,65.33,0
20,07CSC-230,885.23,826.73,58.5,0
21,07CSC-230,884.15,831.52,52.63,0
22,07CSC-230,884.86,831.18,53.68,0
23,07CSC-230,919.16,858.67,60.48,0
24,07CSC-230,864.89,800.72,64.17,0
1,07CTY-161,746.96,704.27,42.69,0
2,07CTY-161,743.47,711.49,31.98,0
3,07CTY-161,695.41,671.98,23.43,0
4,07CTY-161,496.79,483.57,13.23,0
5,07CTY-161,480.44,472.41,8.03,0
6,07CTY-161,456.14,452.18,3.96,0
7,07CTY-161,455.57,453.53,2.04,0
8,07CTY-161,504.66,498.87,5.79,0
9,07CTY-161,513.34,506.72,6.62,0
10,07CTY-161,736.04,720.49,15.55,0
11,07CTY-161,760.63,737.81,22.82,0
12,07CTY-161,1055.92,1022.33,33.59,0
13,07CTY-161,850.22,822.52,27.7,0
14,07CTY-161,887.04,829.71,57.33,0
15,07CTY-161,1017.06,943.75,73.31,0
16,07CTY-161,799.96,738.02,61.93,0
17,07CTY-161,802.26,738.04,64.22,0
18,07CTY-161,943.98,870.45,73.53,0
19,07CTY-161,984.79,910.19,74.6,0
20,07CTY-161,893.38,826.73,66.65,0
21,07CTY-161,892.29,831.52,60.77,0
22,07CTY-161,892.89,831.18,61.71,0
23,07CTY-161,927.08,858.67,68.41,0
24,07CTY-161,871.27,800.72,70.55,0
1,07CTY-230,747.98,704.27,43.71,0
2,07CTY-230,744.28,711.49,32.79,0
3,07CTY-230,696.08,671.98,24.09,0
4,07CTY-230,497.1,483.57,13.53,0
5,07CTY-230,480.6,472.41,8.2,0
6,07CTY-230,456.21,452.18,4.04,0
7,07CTY-230,455.62,453.53,2.09,0
8,07CTY-230,504.79,498.87,5.92,0
9,07CTY-230,513.49,506.72,6.77,0
10,07CTY-230,736.15,720.49,15.66,0
11,07CTY-230,760.94,737.81,23.12,0
12,07CTY-230,1056.48,1022.33,34.15,0
13,07CTY-230,851.05,822.52,28.53,0
14,07CTY-230,888.55,829.71,58.84,0
15,07CTY-230,1019.16,943.75,75.41,0
16,07CTY-230,801.77,738.02,63.75,0
17,07CTY-230,804.38,738.04,66.35,0
18,07CTY-230,946.36,870.45,75.91,0
19,07CTY-230,987.02,910.19,76.83,0
20,07CTY-230,895.15,826.73,68.42,0
21,07CTY-230,894.13,831.52,62.6,0
22,07CTY-230,894.8,831.18,63.62,0
23,07CTY-230,928.92,858.67,70.25,0
24,07CTY-230,872.87,800.72,72.15,0
1,07DRA-69,711.78,704.27,7.51,0
2,07DRA-69,718.08,711.49,6.59,0
3,07DRA-69,677.66,671.98,5.67,0
4,07DRA-69,487.38,483.57,3.81,0
5,07DRA-69,475.89,472.41,3.48,0
6,07DRA-69,455.35,452.18,3.17,0
7,07DRA-69,456.6,453.53,3.07,0
8,07DRA-69,502.87,498.87,4,0
9,07DRA-69,511.15,506.72,4.43,0
10,07DRA-69,727.45,720.49,6.96,0
11,07DRA-69,745.69,737.81,7.88,0
12,07DRA-69,1033.51,1022.33,11.18,0
13,07DRA-69,831.44,822.52,8.93,0
14,07DRA-69,840.23,829.71,10.52,0
15,07DRA-69,955.87,943.75,12.13,0
16,07DRA-69,747.59,738.02,9.57,0
17,07DRA-69,747.63,738.04,9.59,0
18,07DRA-69,881.75,870.45,11.3,0
19,07DRA-69,922.05,910.19,11.85,0
20,07DRA-69,837.62,826.73,10.89,0
21,07DRA-69,842.7,831.52,11.18,0
22,07DRA-69,842.5,831.18,11.32,0
23,07DRA-69,870.07,858.67,11.4,0
24,07DRA-69,811.15,800.72,10.43,0
1,07EDA-115,707.07,704.27,2.8,0
2,07EDA-115,715.4,711.49,3.92,0
3,07EDA-115,675.43,671.98,3.44,0
4,07EDA-115,486.41,483.57,2.84,0
5,07EDA-115,476.03,472.41,3.62,0
6,07EDA-115,456.47,452.18,4.29,0
